Question,Reponse1,Reponse2,Reponse3
q1a,50,,
q1b,10,,
q2a,Paris,10.1,
q2b,Melun,8.4,
q2c,Paris,17.0,
q2d,Melun,16.7,
q2e,Paris,901.1,
q2f,Melun,998.7,
q2g,Paris,1509.0,
q2h,Melun,1511.8,
q3a,2525.3636,,
q3b,2525.3484,,
q3c,63.4,,
q3d,73.2,,
q4a,265.3030,,
q4b,2828.1020,,
q4c,665.26262,,
q5a,2662.363,,
q5b,2626.464,,
q5c,2727.434,,
q6a,Temperature_minimale,Temperature_minimale,0.87
q6b,Temperature_minimale,Temperature_minimale,-0.73
q6c,Temperature_minimale,Temperature_minimale,0.2
q8a,60,,
q8b,20,,
q12a,12,,
q12b,0.99,,
q12c,0.99,,
q12d,15,,
q12e,-2,,
q13a,6,,
q13b,-1.5,,
q14a,0.026004,,
q14b,oui,,
q16a,12000,,
q16b,12,,
q17,-1.28,,
